"","majority_white_5th","majority_white_median","majority_white_95th","majority_white_v_5th","majority_white_v_median","majority_white_v_95th","majority_white_c_5th","majority_white_c_median","majority_white_c_95th","majority_black_5th","majority_black_median","majority_black_95th","majority_black_v_5th","majority_black_v_median","majority_black_v_95th","majority_black_c_5th","majority_black_c_median","majority_black_c_95th","majority_hisp_5th","majority_hisp_median","majority_hisp_95th","majority_hisp_v_5th","majority_hisp_v_median","majority_hisp_v_95th","majority_hisp_c_5th","majority_hisp_c_median","majority_hisp_c_95th","majority_asian_5th","majority_asian_median","majority_asian_95th","majority_asian_v_5th","majority_asian_v_median","majority_asian_v_95th","majority_asian_c_5th","majority_asian_c_median","majority_asian_c_95th","majority_nonwhite_5th","majority_nonwhite_median","majority_nonwhite_95th","majority_nonwhite_v_5th","majority_nonwhite_v_median","majority_nonwhite_v_95th","majority_nonwhite_c_5th","majority_nonwhite_c_median","majority_nonwhite_c_95th","actual_maj_asn_5th","actual_maj_asn_median","actual_maj_asn_95th","actual_maj_asn_c_5th","actual_maj_asn_c_median","actual_maj_asn_c_95th","actual_maj_asn_v_5th","actual_maj_asn_v_median","actual_maj_asn_v_95th","actual_maj_blk_5th","actual_maj_blk_median","actual_maj_blk_95th","actual_maj_blk_c_5th","actual_maj_blk_c_median","actual_maj_blk_c_95th","actual_maj_blk_v_5th","actual_maj_blk_v_median","actual_maj_blk_v_95th","actual_maj_hisp_5th","actual_maj_hisp_median","actual_maj_hisp_95th","actual_maj_hisp_c_5th","actual_maj_hisp_c_median","actual_maj_hisp_c_95th","actual_maj_hisp_v_5th","actual_maj_hisp_v_median","actual_maj_hisp_v_95th","actual_maj_wht_5th","actual_maj_wht_median","actual_maj_wht_95th","actual_maj_wht_c_5th","actual_maj_wht_c_median","actual_maj_wht_c_95th","actual_maj_wht_v_5th","actual_maj_wht_v_median","actual_maj_wht_v_95th","city","actual_maj_asn","actual_maj_asn_c","actual_maj_asn_v","actual_maj_blk","actual_maj_blk_c","actual_maj_blk_v","actual_maj_hisp","actual_maj_hisp_c","actual_maj_hisp_v","actual_maj_wht","actual_maj_wht_c","actual_maj_wht_v","prop_black","prop_black_v","prop_black_c","prop_white","prop_white_v","prop_white_c","prop_hisp","prop_hisp_v","prop_hisp_c","prop_asian","prop_asian_v","prop_asian_c","ndists","X","black_seg","hisp_seg","asian_seg","white_seg","black_seg_v","asian_seg_v","hisp_seg_v","white_seg_v","black_seg_c","hisp_seg_c","asian_seg_c","white_seg_c","hisp_rpvs","black_rpvs","black_viables","hisp_viables","black_viables_v","hisp_viables_v","black_viables_c","hisp_viables_c","hisp_gingles_c","black_gingles_c","hisp_gingles_v","black_gingles_v","state","city_pop","place_fips","demshare_pres","pres_year"
"1",0.8,0.9,0.9,0.8,0.9,0.9,0.8,0.9,0.9,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0.4,0.5,0.7,0.1,0.2,0.3,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,"akron",0,0,0,0.3,0.3,0.3,0,0,0,0.7,0.7,0.7,0.313393173904113,0.286753279668804,0.292142697625061,0.611527309492964,0.655253030335442,0.667283542324953,0.0210790478307974,0.0177848648567741,0.012763045372193,0.0206758873575884,0.0201387996779368,0.0117258547908086,10,1,0.578894631,0.559396782,0.715146827,0.548594122,0.580344306,0.700394785,0.572010349,0.544561675,0.639711786,0.834769358,0.889008245,0.614282743,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"OH","199,384",3901000,0.735381346553937,2008
"2",0.6,0.666666666666667,0.733333333333333,0.666666666666667,0.733333333333333,0.8,0.666666666666667,0.733333333333333,0.8,0.2,0.266666666666667,0.333333333333333,0.133333333333333,0.266666666666667,0.333333333333333,0.2,0.266666666666667,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,0.4,0.466666666666667,0.6,0.266666666666667,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0.266666666666667,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.733333333333333,0.733333333333333,0.733333333333333,0.666666666666667,0.666666666666667,0.666666666666667,"albany",0,0,0,0.266666666666667,0.266666666666667,0.266666666666667,0,0,0,0.6,0.733333333333333,0.666666666666667,0.29104914426713,0.251802067392592,0.247921157504203,0.540224096149271,0.600717819362975,0.647837956778503,0.0857214964662177,0.0720919812919316,0.0544496290021713,0.0495376045799902,0.0497858257409298,0.0238010318077777,15,2,0.535495705,0.323815285,0.465922628,0.495868237,0.534146732,0.434534929,0.572010349,0.457101145,0.589530655,0.440625608,0.619381015,0.519752721,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"NY","100,566",3601000,0.832860877941379,2008
"3",0.444444444444444,0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555556,0.666666666666667,0.666666666666667,0.666666666666667,0.777777777777778,0,0,0,0,0,0,0,0,0,0.333333333333333,0.444444444444444,0.555555555555556,0.333333333333333,0.333333333333333,0.444444444444444,0.222222222222222,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,6,7,8,0.888888888888889,0.888888888888889,1,0.444444444444444,0.555555555555556,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444444444,0.444444444444444,0.444444444444444,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.555555555555556,0.555555555555556,0.555555555555556,0.666666666666667,0.666666666666667,0.666666666666667,0.555555555555556,0.555555555555556,0.555555555555556,"albuquerque",0,0,0,0,0,0,0.444444444444444,0.333333333333333,0.333333333333333,0.555555555555556,0.666666666666667,0.555555555555556,0.0273014895195565,0.0279850583198723,0.030268543587529,0.421826690441746,0.471223996287862,0.517224937621957,0.466517679195581,0.420718977119326,0.377983927138139,0.0251060627181706,0.026182427532554,0.020034726575322,9,3,0.469526406,0.40199543,0.557137143,0.40558058,0.468334196,0.539535027,0.572010349,0.388378925,0.64925105,0.379777505,0.715649355,0.392930478,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"NM","557,862",3502000,0.609915178571429,2008
"4",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0.666666666666667,0.666666666666667,0.833333333333333,0.5,0.5,0.666666666666667,0,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,5,5,5,1,1,1,0.833333333333333,0.833333333333333,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.833333333333333,0.833333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0.5,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,"anaheim",0,0,0,0,0,0,0.833333333333333,0.166666666666667,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0.0243840361278394,0.0258443079371909,0.0331074746042744,0.274487675285928,0.318813924349416,0.457604121869118,0.527954086780945,0.47002169425615,0.318038058220349,0.146363201120919,0.1615951874197,0.171534076690863,6,4,0.451921709,0.463665622,0.382024897,0.411628082,0.439848444,0.362174188,0.572010349,0.389687182,0.634342611,0.401480779,0.394942349,0.368932003,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"CA","353,613",602000,0.52498611265415,2008
"5",0.833333333333333,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.666666666666667,0.666666666666667,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.833333333333333,0.833333333333333,1,1,1,1,1,1,"anchorage",0,0,0,0,0,0,0,0,0,0.833333333333333,1,1,0.0525408520429324,0.0515003167196138,0.0515949685765479,0.62607728129906,0.672396554688028,0.708730082918911,0.0756833282363025,0.0633304752812778,0.0539473265380939,0.0795590940168242,0.076319193711335,0.05197717486662,6,5,0.433543485,0.303190945,0.440944239,0.352255139,0.425770368,0.420279216,0.572010349,0.337005159,0.556888091,0.43604383,0.559174779,0.405550234,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AK","291,826",203000,0.378734267394918,2008
"6",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,"ann arbor",0,0,0,0,0,0,0,0,0,1,1,1,0.0755659855688734,0.0687645923227863,0.0734044854569287,0.704548004159693,0.7226515825533,0.79134321129867,0.0409672926904222,0.0374848254050726,0.0294771094965841,0.142401834161503,0.143935761545994,0.0769553440380101,5,6,0.454031756,0.29294781,0.43836386,0.342623067,0.431154033,0.424094029,0.572010349,0.333838336,0.523791167,0.507979914,0.411382728,0.377379409,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MI","114,916",2603000,0.8246810941169,2008
"7",0,0,0,0,0.25,0.25,0.5,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,1,1,0.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.25,0.25,0.25,"antioch",0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.166042754539512,0.154959315155235,0.169764268976281,0.356987157991185,0.406468259734197,0.471963940636669,0.317094037046337,0.284141237775186,0.224607330149969,0.100480456522664,0.107553661895664,0.0954811503061666,4,7,0.311545352,0.241804673,0.425153029,0.275664212,0.316782272,0.422356735,0.572010349,0.275880915,0.395813389,0.28872156,0.517153627,0.346815344,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"CA","103,083",602252,0.699933753852357,2008
"8",0.2,0.4,0.6,0.4,0.6,0.8,0.6,0.8,1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0.8,0.8,1,0.2,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.8,0.8,0.6,0.6,0.6,"arlington",0,0,0,0,0,0,0,0,0,0.4,0.8,0.6,0.183540132511535,0.172348551115598,0.186165039347183,0.448745406895254,0.501620807608862,0.600329161978282,0.274408506781779,0.23459285432273,0.138934716526734,0.0673160223718747,0.0711354983999436,0.055489942591793,5,8,0.418989833,0.43487483,0.504483242,0.455291152,0.418195914,0.500031662,0.572010349,0.44484646,0.480756237,0.391976617,0.587010378,0.443547579,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"TX","371,248",4804000,0.477496298074999,2008
"9",0.416666666666667,0.416666666666667,0.5,0.416666666666667,0.5,0.5,0.416666666666667,0.5,0.5,0.5,0.583333333333333,0.583333333333333,0.5,0.5,0.583333333333333,0.5,0.583333333333333,0.583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,0.583333333333333,0.666666666666667,0.75,0.5,0.583333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,"atlanta",0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.534076434517804,0.507242261348119,0.534760257040815,0.362805255938296,0.390445905255201,0.407638123454409,0.0519398698516867,0.0481108265351376,0.0220650075189695,0.0311858561833133,0.0357069609322481,0.0209703122207698,12,9,0.754771174,0.507823681,0.627001321,0.723803829,0.737089197,0.604194324,0.572010349,0.695337688,0.782013115,0.594741208,0.710121948,0.755229938,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"GA","420,232",1304000,0.765633477120114,2008
"10",0.25,0.375,0.5,0.25,0.375,0.5,0.375,0.375,0.5,0.5,0.625,0.75,0.5,0.625,0.75,0.5,0.625,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,1,1,1,0.625,0.75,0.875,0,0,0,0,0,0,0,0,0,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0,0,0,0,0,0,0,0,0,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,"augusta",0,0,0,0.625,0.625,0.625,0,0,0,0.375,0.375,0.375,0.534806233241378,0.504754021522938,0.510134773792921,0.380688874877685,0.418646096588273,0.431530175619674,0.0409574071008297,0.03724237414047,0.0284387535651401,0.0163183379397097,0.0189912870823548,0.0123719932499634,8,10,0.547689138,0.439199068,0.562493849,0.5499185,0.548266497,0.555340077,0.572010349,0.540391182,0.580641948,0.636864869,0.696981992,0.583377816,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"GA","200,489",1304204,0.60011458034947,2008
