"","cities_2000","ndists_2000","actual_maj_asn_2000","actual_maj_asn_v_2000","actual_maj_blk_2000","actual_maj_blk_v_2000","actual_maj_hisp_2000","actual_maj_hisp_v_2000","actual_maj_wht_2000","actual_maj_wht_v_2000","prop_black_2000","prop_black_v_2000","prop_white_2000","prop_white_v_2000","prop_hisp_2000","prop_hisp_v_2000","prop_asian_2000","prop_asian_v_2000"
"1","akron",10,0,0,0.3,0.3,0,0,0.7,0.7,0.283462220187387,0.253270390065181,0.666668341627007,0.705911896770763,0.0115586588258353,0.0100094132802634,0.014824954477586,0.0147034994042953
"2","albany",15,0,0,0.266666666666667,0.266666666666667,0,0,0.733333333333333,0.733333333333333,0.272004926899279,0.223129836687886,0.611391014630652,0.674745474391091,0.0559046595816825,0.0459564936042009,0.0322780513610864,0.0344880160137985
"3","albuquerque",9,0,0,0,0,0.333333333333333,0.333333333333333,0.555555555555556,0.555555555555556,0.0275755787393475,0.0264184158566737,0.499400455917494,0.541922158452621,0.39882853768372,0.362248991004585,0.0216157610108722,0.0221369504721708
"4","ann arbor",5,0,0,0,0,0,0,1,1,0.0859435440484531,0.0785128172417231,0.729970626540385,0.744256875137413,0.0334039225136415,0.0320047296676206,0.117593116165097,0.119404735903976
"5","atlanta",12,0,0,0.666666666666667,0.666666666666667,0,0,0.25,0.25,0.611885841984555,0.564455481211981,0.311183563537615,0.356344622831236,0.044672061007365,0.045181489019479,0.0190235186008221,0.0212919651145816
"6","baltimore",14,0,0,0.857142857142857,0.642857142857143,0,0,0.142857142857143,0.142857142857143,0.640589907757322,0.603876978559442,0.309377009211053,0.346180294752552,0.0169851097007144,0.0164145856037118,0.0150847943455701,0.017595381460999
"7","baton rouge",12,0,0,0.416666666666667,0.333333333333333,0,0,0.583333333333333,0.583333333333333,0.399323098809971,0.359794633141704,0.550891229957392,0.590793084853737,0.0178346639680041,0.0181113470200528,0.0206709064292064,0.0211690851391653
"8","birmingham",9,0,0,0.666666666666667,0.666666666666667,0,0,0.111111111111111,0.333333333333333,0.729786022004067,0.684062695309368,0.237185606414788,0.283028195025833,0.0155334851688388,0.0153841166086666,0.0078416999358518,0.00879759398163199
"9","buffalo",9,0,0,0.333333333333333,0.333333333333333,0,0,0.555555555555556,0.555555555555556,0.365862641794123,0.330421474858392,0.517452345629943,0.57389993573204,0.0754937274750134,0.0600810028472105,0.0138089263118521,0.01469645951692
"10","cape coral",7,0,0,0,0,0,0,1,1,0.0178469519617136,0.0154211292214083,0.875583246023023,0.893045943671762,0.0831154016863684,0.0715967073006928,0.00905365335783285,0.00906701363591099
