"","City","Converged"
"1","akron",FALSE
"2","albuquerque",FALSE
"3","anaheim",FALSE
"4","arlington",FALSE
"5","atlanta",FALSE
"6","augusta",FALSE
"7","aurora",FALSE
"8","bakersfield",FALSE
"9","baton rouge",TRUE
"10","birmingham",FALSE
"11","bonita springs",FALSE
"12","bremerton",FALSE
"13","brownsville",FALSE
"14","buffalo",FALSE
"15","cape coral",FALSE
"16","charleston",FALSE
"17","charlotte",FALSE
"18","chattanooga",FALSE
"19","chula vista",FALSE
"20","columbus ga",FALSE
"21","corpus christi",FALSE
"22","dallas",TRUE
"23","davenport",FALSE
"24","detroit",FALSE
"25","el paso",FALSE
"26","evansville",FALSE
"27","fayetteville",FALSE
"28","flint",FALSE
"29","fort wayne",FALSE
"30","fort worth",TRUE
"31","fresno",FALSE
"32","garland",FALSE
"33","glendale",FALSE
"34","grand rapids",FALSE
"35","greensboro",FALSE
"36","gulfport",FALSE
"37","huntsville",FALSE
"38","indio",FALSE
"39","irving",FALSE
"40","jackson",FALSE
"41","jacksonville",TRUE
"42","kansas city",FALSE
"43","knoxville",FALSE
"44","lakeland",FALSE
"45","laredo",FALSE
"46","las vegas",FALSE
"47","lexington",FALSE
"48","little rock",FALSE
"49","louisville",TRUE
"50","lubbock",FALSE
"51","mckinney",FALSE
"52","memphis",FALSE
"53","mesa",FALSE
"54","mobile",FALSE
"55","modesto",FALSE
"56","murrieta",FALSE
"57","nashua",FALSE
"58","norfolk",FALSE
"59","ogden",FALSE
"60","oklahoma city",FALSE
"61","omaha",FALSE
"62","orlando",FALSE
"63","oxnard",FALSE
"64","phoenix",FALSE
"65","pittsburgh",FALSE
"66","plano",FALSE
"67","providence",TRUE
"68","provo",FALSE
"69","raleigh",FALSE
"70","reading",FALSE
"71","reno",FALSE
"72","riverside",FALSE
"73","rochester",FALSE
"74","rockford",TRUE
"75","sacramento",FALSE
"76","salem",FALSE
"77","salt lake city",FALSE
"78","san antonio",FALSE
"79","san bernardino",FALSE
"80","san diego",FALSE
"81","santa ana",FALSE
"82","savannah",FALSE
"83","shreveport",FALSE
"84","south bend",FALSE
"85","springfield ma",FALSE
"86","st petersburg",FALSE
"87","stockton",FALSE
"88","syracuse",FALSE
"89","tampa",FALSE
"90","toledo",FALSE
"91","trenton",FALSE
"92","tucson",FALSE
"93","tulsa",FALSE
"94","tuscaloosa",FALSE
"95","virginia beach",FALSE
"96","visalia",FALSE
"97","wichita",FALSE
"98","worcester",FALSE
"99","youngstown",FALSE
