"","city","ndists","black_councilors_2010","caucasian_councilors_2010","hispanic_councilors_2010","asian_councilors_2010","other_councilors_2010","black_cc_prop_2010","caucasian_cc_prop_2010","hispanic_cc_prop_2010","asian_cc_prop_2010","other_cc_prop_2010"
"1","akron",10,3,7,0,0,0,0.3,0.7,0,0,0
"2","albany",15,4,11,0,0,0,0.266666666666667,0.733333333333333,0,0,0
"3","albuquerque",9,0,6,3,0,0,0,0.666666666666667,0.333333333333333,0,0
"4","alhambra",5,0,1,1,3,0,0,0.2,0.2,0.6,0
"5","ames",2,0,2,0,0,0,0,1,0,0,0
"6","anchorage",11,1,9,1,0,0,0.0909090909090909,0.818181818181818,0.0909090909090909,0,0
"7","ann arbor",5,0,5,0,0,0,0,1,0,0,0
"8","arlington",10,0,9,1,0,0,0,0.9,0.1,0,0
"9","athens-clarke county unified government (balance)",10,2,8,0,0,0,0.2,0.8,0,0,0
"10","atlanta",12,8,3,0,1,0,0.666666666666667,0.25,0,0.0833333333333333,0
"11","augusta",10,6,4,0,0,0,0.6,0.4,0,0,0
"12","aurora",10,1,8,1,0,0,0.1,0.8,0.1,0,0
"13","austin",6,1,4,1,0,0,0.166666666666667,0.666666666666667,0.166666666666667,0,0
"14","bakersfield",7,0,6,1,0,0,0,0.857142857142857,0.142857142857143,0,0
"15","baltimore",14,7,7,0,0,0,0.5,0.5,0,0,0
"16","baton rouge",12,6,6,0,0,0,0.5,0.5,0,0,0
"17","beaumont",4,2,2,0,0,0,0.5,0.5,0,0,0
"18","beaverton",5,0,5,0,0,0,0,1,0,0,0
"19","bellevue",7,0,6,0,1,0,0,0.857142857142857,0,0.142857142857143,0
"20","bellingham",6,0,6,0,0,0,0,1,0,0,0
"21","berkeley",8,2,5,1,0,0,0.25,0.625,0.125,0,0
"22","billings",5,0,5,0,0,0,0,1,0,0,0
"23","birmingham",9,7,2,0,0,0,0.777777777777778,0.222222222222222,0,0,0
"24","blaine",1,0,1,0,0,0,0,1,0,0,0
"25","boston",9,2,6,1,0,0,0.222222222222222,0.666666666666667,0.111111111111111,0,0
"26","broken arrow",3,0,3,0,0,0,0,1,0,0,0
"27","buffalo",9,3,4,2,0,0,0.333333333333333,0.444444444444444,0.222222222222222,0,0
"28","camden",2,1,0,1,0,0,0.5,0,0.5,0,0
"29","canton",9,3,6,0,0,0,0.333333333333333,0.666666666666667,0,0,0
"30","cape coral",7,1,6,0,0,0,0.142857142857143,0.857142857142857,0,0,0
"31","carrollton",10,0,10,0,0,0,0,1,0,0,0
"32","cary town",4,0,4,0,0,0,0,1,0,0,0
"33","casper",3,0,3,0,0,0,0,1,0,0,0
"34","cedar rapids",5,0,5,0,0,0,0,1,0,0,0
"35","champaign",5,2,3,0,0,0,0.4,0.6,0,0,0
"36","charleston",6,3,3,0,0,0,0.5,0.5,0,0,0
"37","charlotte",7,3,4,0,0,0,0.428571428571429,0.571428571428571,0,0,0
"38","chattanooga",9,2,6,1,0,0,0.222222222222222,0.666666666666667,0.111111111111111,0,0
"39","cheyenne",3,0,3,0,0,0,0,1,0,0,0
"40","chicago",50,18,23,9,0,0,0.36,0.46,0.18,0,0
"41","chula vista",4,0,1,3,0,0,0,0.25,0.75,0,0
"42","clarksville",12,4,8,0,0,0,0.333333333333333,0.666666666666667,0,0,0
"43","clearwater",2,0,2,0,0,0,0,1,0,0,0
"44","cleveland",19,8,11,0,0,0,0.421052631578947,0.578947368421053,0,0,0
"45","college station",1,0,1,0,0,0,0,1,0,0,0
"46","colorado springs",4,1,3,0,0,0,0.25,0.75,0,0,0
"47","colton",6,0,1,5,0,0,0,0.166666666666667,0.833333333333333,0,0
"48","columbia",4,3,1,0,0,0,0.75,0.25,0,0,0
"49","columbus",3,3,0,0,0,0,1,0,0,0,0
"50","compton",4,4,0,0,0,0,1,0,0,0,0
"51","coral springs",5,0,4,1,0,0,0,0.8,0.2,0,0
"52","corpus christi",9,0,6,3,0,0,0,0.666666666666667,0.333333333333333,0,0
"53","cranston",6,0,4,2,0,0,0,0.666666666666667,0.333333333333333,0,0
"54","dallas",14,4,7,3,0,0,0.285714285714286,0.5,0.214285714285714,0,0
"55","davenport",8,0,8,0,0,0,0,1,0,0,0
"56","davie town",4,0,4,0,0,0,0,1,0,0,0
"57","daytona beach",6,2,4,0,0,0,0.333333333333333,0.666666666666667,0,0,0
"58","denton",7,1,6,0,0,0,0.142857142857143,0.857142857142857,0,0,0
"59","denver",11,1,7,3,0,0,0.0909090909090909,0.636363636363636,0.272727272727273,0,0
"60","des moines",4,0,4,0,0,0,0,1,0,0,0
"61","downey",5,0,2,3,0,0,0,0.4,0.6,0,0
"62","dubuque",4,0,4,0,0,0,0,1,0,0,0
"63","duluth",5,0,5,0,0,0,0,1,0,0,0
"64","durham",6,3,3,0,0,0,0.5,0.5,0,0,0
"65","el paso",16,1,7,8,0,0,0.0625,0.4375,0.5,0,0
"66","elizabeth",6,1,3,2,0,0,0.166666666666667,0.5,0.333333333333333,0,0
"67","elk grove",5,1,4,0,0,0,0.2,0.8,0,0,0
"68","eugene",8,0,7,1,0,0,0,0.875,0.125,0,0
"69","evanston",9,2,7,0,0,0,0.222222222222222,0.777777777777778,0,0,0
"70","evansville",6,1,5,0,0,0,0.166666666666667,0.833333333333333,0,0,0
"71","everett",7,1,6,0,0,0,0.142857142857143,0.857142857142857,0,0,0
"72","fayetteville",9,4,5,0,0,0,0.444444444444444,0.555555555555556,0,0,0
"73","federal way",7,1,5,0,1,0,0.142857142857143,0.714285714285714,0,0.142857142857143,0
"74","flint",9,6,3,0,0,0,0.666666666666667,0.333333333333333,0,0,0
"75","fort lauderdale",4,1,3,0,0,0,0.25,0.75,0,0,0
"76","fort wayne",6,1,5,0,0,0,0.166666666666667,0.833333333333333,0,0,0
"77","fort worth",8,2,5,1,0,0,0.25,0.625,0.125,0,0
"78","fresno",7,1,4,1,1,0,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143,0
"79","gainesville",4,1,3,0,0,0,0.25,0.75,0,0,0
"80","garland",11,2,8,1,0,0,0.181818181818182,0.727272727272727,0.0909090909090909,0,0
"81","glendale",2,0,2,0,0,0,0,1,0,0,0
"82","glendora",2,0,2,0,0,0,0,1,0,0,0
"83","grand prairie",8,1,7,0,0,0,0.125,0.875,0,0,0
"84","grand rapids",3,0,3,0,0,0,0,1,0,0,0
