,city,county,state,props,hisp_prop_p_2010,black_prop_p_2010,white_prop_p_2010,hisp_prop_c_2010,black_prop_c_2010,white_prop_c_2010,hisp_prop_v_2010,black_prop_v_2010,white_prop_v_2010,hisp_prop_p_2020,black_prop_p_2020,white_prop_p_2020,hisp_prop_c_2020,black_prop_c_2020,white_prop_c_2020,hisp_prop_v_2020,black_prop_v_2020,white_prop_v_2020,rpv_county
1,akron,Summit,OH,1,0.021079048,0.313393174,0.611527309,0.012763045,0.292142698,0.667283542,0.017784865,0.28675328,0.65525303,0.032529005,0.311274708,0.539835918,0.018469142,0.285963524,0.644905298,0.027061562,0.288446886,0.58792522,Summit
2,albany,Albany,NY,1,0.085721496,0.291049144,0.540224096,0.054449629,0.247921158,0.647837957,0.072091981,0.251802067,0.600717819,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albany
3,albuquerque,Bernalillo,NM,1,0.466517417,0.027301461,0.421826992,0.37798353,0.030268457,0.517225329,0.420718834,0.02798501,0.471224167,0.476979306,0.029485321,0.37716223,0.436254348,0.02716299,0.45319015,0.441401029,0.029741514,0.41640532,Bernalillo
4,anaheim,Orange,CA,1,0.527954087,0.024384036,0.274487675,0.318038058,0.033107475,0.457604122,0.470021694,0.025844308,0.318813924,0.53825235,0.02439653,0.225413712,0.396749342,0.032074906,0.346945189,0.49696266,0.025710858,0.253902835,Orange
5,anchorage,Anchorage,AK,1,0.075683328,0.052540852,0.626077281,0.053947327,0.051594969,0.708730083,0.063330475,0.051500317,0.672396555,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anchorage
6,ann arbor,Washtenaw,MI,1,0.040967293,0.075565986,0.704548004,0.029477109,0.073404485,0.791343211,0.037484825,0.068764592,0.722651583,0.055127065,0.066229672,0.658922117,0.039194338,0.070658037,0.757327123,0.051037942,0.063803827,0.673145568,Washtenaw
7,antioch,Contra Costa,CA,1,0.317094157,0.166042654,0.356987304,0.224607399,0.169764166,0.471964146,0.284141332,0.154959248,0.406468442,NA,NA,NA,NA,NA,NA,NA,NA,NA,Contra Costa
8,arlington,Tarrant,TX,1,0.274408507,0.183540133,0.448745407,0.138934717,0.186165039,0.600329162,0.234592854,0.172348551,0.501620808,0.306783101,0.223739776,0.349379619,0.199289776,0.225469176,0.487230301,0.272754365,0.215089001,0.390650642,Tarrant
9,atlanta,"Dekalb, Fulton",GA,".08, .92",0.051940122,0.534074068,0.362807283,0.022064903,0.534758539,0.407640059,0.048111039,0.50724032,0.390447555,0.06004635,0.46715377,0.385471611,0.035888054,0.492894209,0.414621681,0.057166304,0.44819417,0.4067733,Fulton
10,augusta,Richmond,GA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richmond
